D:\PTT\front\src\components\ModalForm.tsx: line 76, col 35, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\hr\Attendance.tsx: line 981, col 35, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\hr\Overtime.tsx: line 162, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\hr\Overtime.tsx: line 402, col 19, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\hr\Overtime.tsx: line 417, col 12, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\hr\SocialSecurity.tsx: line 223, col 24, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 79, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 107, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 225, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 237, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 243, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 249, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Reports.tsx: line 270, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Sales.tsx: line 185, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Sales.tsx: line 186, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Sales.tsx: line 189, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Sales.tsx: line 190, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\chester\Sales.tsx: line 191, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 85, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 114, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 238, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 250, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 256, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 262, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Reports.tsx: line 283, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Sales.tsx: line 183, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Sales.tsx: line 184, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Sales.tsx: line 187, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Sales.tsx: line 188, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\daiso\Sales.tsx: line 189, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\ev-motorbike\Sales.tsx: line 182, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\ev-motorbike\Sales.tsx: line 183, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\ev-motorbike\Sales.tsx: line 186, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\ev-motorbike\Sales.tsx: line 187, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\ev-motorbike\Sales.tsx: line 188, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 87, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 116, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 240, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 252, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 258, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 264, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 270, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Reports.tsx: line 291, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Sales.tsx: line 184, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Sales.tsx: line 185, col 10, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Sales.tsx: line 188, col 49, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Sales.tsx: line 189, col 44, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\fit-auto\Sales.tsx: line 190, col 11, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 80, col 16, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 115, col 7, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 233, col 40, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 245, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 251, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 257, col 43, Warning - Generic Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Reports.tsx: line 332, col 28, Warning - Variable Assigned to Object Injection Sink (security/detect-object-injection)
D:\PTT\front\src\pages\shops\jao-sua\Sales.tsx: line 184, col 5, Warning - Generic Object Injection Sink (security/detect-object-injection)
